datetime,open,high,low,close,volume,openinterest
2025-07-01 00:00:00,1.17849,1.17849,1.17734,1.1777,93,0
2025-07-01 00:15:00,1.1777,1.178,1.17726,1.17769,128,0
2025-07-01 00:30:00,1.17766,1.17799,1.1772,1.1778,511,0
2025-07-01 00:45:00,1.17779,1.17822,1.17774,1.17793,487,0
2025-07-01 01:00:00,1.17795,1.17847,1.17783,1.17839,486,0
2025-07-01 01:15:00,1.17837,1.17883,1.17832,1.17881,490,0
2025-07-01 01:30:00,1.17884,1.17903,1.17849,1.17863,325,0
2025-07-01 01:45:00,1.17863,1.17879,1.17841,1.17852,306,0
2025-07-01 02:00:00,1.17852,1.17871,1.17843,1.17855,238,0
2025-07-01 02:15:00,1.17855,1.17862,1.17832,1.17843,257,0
2025-07-01 02:30:00,1.17843,1.17852,1.17828,1.17834,243,0
2025-07-01 02:45:00,1.17834,1.17868,1.17828,1.17858,396,0
2025-07-01 03:00:00,1.17858,1.17935,1.17858,1.17935,669,0
2025-07-01 03:15:00,1.17935,1.17941,1.17859,1.17905,614,0
2025-07-01 03:30:00,1.17905,1.17942,1.17902,1.17909,494,0
2025-07-01 03:45:00,1.17909,1.17973,1.17904,1.17969,550,0
2025-07-01 04:00:00,1.17969,1.17972,1.17917,1.1795,560,0
2025-07-01 04:15:00,1.1795,1.18072,1.1793,1.17931,870,0
2025-07-01 04:30:00,1.17929,1.17929,1.17844,1.17873,609,0
2025-07-01 04:45:00,1.17874,1.1788,1.17791,1.17799,662,0
2025-07-01 05:00:00,1.17798,1.1782,1.17775,1.17796,570,0
2025-07-01 05:15:00,1.17796,1.17826,1.17793,1.17813,407,0
2025-07-01 05:30:00,1.17814,1.17844,1.17805,1.1783,379,0
2025-07-01 05:45:00,1.17831,1.1789,1.1783,1.17876,400,0
2025-07-01 06:00:00,1.17876,1.17908,1.17871,1.17908,401,0
2025-07-01 06:15:00,1.17907,1.17934,1.1789,1.1789,325,0
2025-07-01 06:30:00,1.17891,1.17923,1.17862,1.17919,371,0
2025-07-01 06:45:00,1.17919,1.17925,1.17867,1.17888,347,0
2025-07-01 07:00:00,1.17889,1.17924,1.17857,1.1792,504,0
2025-07-01 07:15:00,1.17919,1.17933,1.17898,1.17901,345,0
2025-07-01 07:30:00,1.17901,1.17902,1.17847,1.17847,304,0
2025-07-01 07:45:00,1.17846,1.17866,1.17825,1.17858,299,0
